createDate,taskName,mode,weaponName,map,version,timeToTrace,linesTotal,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
03/15/2021 08:19:47,linetrace,10,9mm,0,-gitBranch.285,2.0,33,90.77202,90.0,73.0,75.0,80.0,73.0,75.0,73.0,80.0,1741.4828953462493,1343.2411895751952,1654.0128580729167,1505.0624008178711,1498.271728515625,1964.3901062011719,2101.2222377232142,1948.8031684027778,2012.5256890190972,34,88,0.56839323,68
03/15/2021 08:18:28,linetrace,10,9mm,0,-gitBranch.285,2.0,33,94.0190353,88.0,100.0,100.0,80.0,100.0,77.0,100.0,80.0,1742.2171985401828,1313.277416229248,1519.8554338727679,1477.185546875,1697.9637298583984,2025.3500244140625,1915.5924405184658,1741.6886444091797,2083.2302093505859,34,76,0.568775058,68
03/15/2021 08:17:19,linetrace,10,9mm,0,-gitBranch.285,2.0,31,88.62566,89.0,100.0,100.0,73.0,89.0,100.0,90.0,64.0,1840.4927651882169,1530.7998572455513,1661.7910919189453,1529.8610142299106,1578.001953125,1983.7141557173295,2000.3085327148438,1934.0618286132813,2346.1417507595488,32,74,0.535133243,64
03/15/2021 00:57:23,linetrace,10,9mm,0,-gitBranch.285,2.0,34,87.0632858,80.0,71.0,67.0,64.0,75.0,78.0,100.0,73.0,1718.6891421995306,1548.1068756103516,1579.9624837239583,1671.4510955810547,1618.7128295898438,1698.3735894097222,1936.1969866071429,1752.8992767333984,1970.5572875976563,35,92,0.5770065,69
03/14/2021 03:35:57,linetrace,10,9mm,0,-gitBranch.285,1.0,35,86.64097,100.0,64.0,69.0,89.0,100.0,82.0,89.0,91.0,1643.4027036031086,1196.9542083740234,1537.2654486762153,1395.944221496582,1467.2898559570313,1746.4964192708333,1950.5640190972222,2007.295166015625,1827.4990478515624,36,86,0.6025158,72
03/14/2021 03:34:31,linetrace,10,9mm,0,-gitBranch.285,2.0,33,95.45959,100.0,90.0,90.0,91.0,82.0,88.0,89.0,70.0,1778.111320381734,1484.0683455033736,1524.0503627232142,1654.3170979817708,1621.0141235351564,2014.8857269287112,1908.2805480957031,2093.915568033854,2136.5669250488281,34,77,0.560311258,67
03/11/2021 06:59:51,linetrace,10,9mm,0,-gitBranch.285,2.0,28,96.75076,80.0,67.0,75.0,100.0,88.0,100.0,100.0,86.0,2082.8687939560205,1757.076661682129,1872.0670030381943,1940.8223353794642,2004.2892717633927,2086.7923583984375,2445.8543701171875,2439.878173828125,2471.29647391183,29,67,0.476656,57
03/11/2021 06:58:34,linetrace,10,9mm,0,-gitBranch.285,2.0,30,94.3386459,100.0,89.0,100.0,100.0,73.0,100.0,88.0,100.0,1945.3534408319192,1543.7749650743272,1716.1116638183596,1827.620646158854,1757.9749755859375,2339.2676849365234,2280.2800118582586,1953.3066558837888,2136.39592827691,31,66,0.5101126,61
03/10/2021 07:48:00,linetrace,10,9mm,0,-gitBranch.285,2.0,31,99.89778,100.0,67.0,90.0,78.0,90.0,100.0,78.0,100.0,1865.0422549247744,1647.2215576171875,2111.5406755719864,1524.9396057128906,1675.1516571044922,1926.1221516927083,1999.4673374720981,2038.8240051269531,2031.5262451171873,32,74,0.5349167,64
03/10/2021 07:46:40,linetrace,10,9mm,0,-gitBranch.285,1.0,35,93.24676,90.0,77.0,90.0,83.0,75.0,100.0,80.0,88.0,1672.3735076474475,1380.0718994140625,1552.9514526367186,1609.9857910156252,1430.5081515842014,1837.6264784071182,1860.8171735491071,1947.0838216145833,1978.5467664930554,36,85,0.595664144,71
03/10/2021 07:45:30,linetrace,10,9mm,0,-gitBranch.285,2.0,34,94.58276,100.0,90.0,89.0,75.0,82.0,100.0,90.0,73.0,1701.4682290213448,1354.5398101806641,1488.8741997612847,1594.7240804036458,1679.9545762803818,1837.6435424804688,1884.9345855712891,1744.2269287109377,2127.4877014160156,35,81,0.5854701,70
03/10/2021 07:43:56,linetrace,10,9mm,0,-gitBranch.285,2.0,33,87.38811,73.0,73.0,75.0,80.0,73.0,80.0,100.0,69.0,1778.6554911599226,1349.7559746636284,1684.9663848876953,1565.0692901611328,1646.496826171875,2078.4675445556645,1875.9869384765625,1922.9058702256943,2100.8961588541665,34,87,0.5607181,67
03/10/2021 07:42:45,linetrace,10,9mm,0,-gitBranch.285,2.0,31,88.8097153,89.0,70.0,100.0,80.0,100.0,67.0,89.0,89.0,1883.9402383471286,1356.698657989502,1741.8798304966519,1588.4244842529297,1673.1531524658203,1979.6804877387156,2271.3862653459823,2162.1261683872767,2299.6838243272568,32,75,0.5271437,63
03/09/2021 10:33:13,linetrace,10,9mm,0,-gitBranch.285,2.0,32,92.48772,100.0,67.0,100.0,80.0,100.0,67.0,89.0,80.0,1800.2312668309069,1438.9217325846355,1891.8578033447266,1457.9897003173828,1613.3252716064453,2002.2998901367187,2170.3172607421875,1844.6150076729912,2003.5623372395833,33,79,0.551874638,66
03/09/2021 10:32:00,linetrace,10,9mm,0,-gitBranch.285,1.0,37,86.48654,67.0,89.0,90.0,80.0,69.0,91.0,71.0,79.0,1557.5994865015939,1375.6203779740767,1384.9006212022568,1450.05224609375,1455.622741699219,1631.8024458451705,1783.3391113281248,1714.9254421657986,1666.8232046274038,38,98,0.637152433,76
03/09/2021 07:19:44,linetrace,10,9mm,0,-gitBranch.285,1.0,39,85.55413,100.0,86.0,91.0,82.0,91.0,78.0,77.0,73.0,1507.3013440868522,1172.1025263468425,1426.4257446289062,1370.7765274047852,1286.6734212239583,1512.1748996310764,1732.46728515625,1642.8529274680398,1888.362569173177,40,94,0.6604365,79
03/09/2021 07:18:25,linetrace,10,9mm,0,-gitBranch.285,1.0,35,83.99883,100.0,69.0,77.0,89.0,89.0,75.0,73.0,75.0,1642.187324523926,1409.5004760742188,1678.6291625976562,1631.5590542879972,1597.9065348307292,1571.4859252929687,1725.9089965820313,1831.5073038736978,1814.5884399414063,36,91,0.603796065,72
03/09/2021 07:17:04,linetrace,10,9mm,0,-gitBranch.285,2.0,33,86.92035,100.0,60.0,89.0,89.0,100.0,67.0,89.0,80.0,1731.2644810396087,1352.5955227938566,1683.8658582899307,1601.6457061767576,1520.5650939941406,1629.1743316650391,2208.5182800292969,1899.0643310546875,2102.6124114990239,34,83,0.5696507,68
03/09/2021 03:51:51,linetrace,10,9mm,0,-gitBranch.285,2.0,34,83.66268,100.0,77.0,100.0,82.0,64.0,82.0,80.0,100.0,1686.0689782278876,1402.5547194047408,1590.2247992621528,1498.4520128038193,1509.9914822048611,1856.8775770399307,1954.9569824218752,1996.1092529296875,1852.9411969866071,35,84,0.5851563,70
03/08/2021 01:55:24,linetrace,10,9mm,0,-gitBranch.285,1.0,36,82.43503,83.0,75.0,80.0,91.0,89.0,82.0,100.0,62.0,1610.8192316003742,1346.5543060302737,1552.1797417534722,1405.6079559326172,1386.9136199951172,1697.7863037109375,1848.3444649832591,1744.3743896484375,1838.7726338704429,37,90,0.618805468,74
03/08/2021 01:54:12,linetrace,10,9mm,0,-gitBranch.285,1.0,36,82.8487244,80.0,75.0,64.0,100.0,71.0,82.0,82.0,64.0,1616.3563955385391,1312.8259550094604,1527.5131530761719,1547.5446912977432,1415.647399902344,1766.3558127663352,1800.1823187934031,1765.4714529854912,1841.2689887152781,37,96,0.609450161,73
03/08/2021 01:52:53,linetrace,10,9mm,0,-gitBranch.285,2.0,33,85.33572,89.0,100.0,80.0,73.0,80.0,54.0,69.0,75.0,1762.4279671284683,1366.0952117919921,1689.1568756103516,1576.8002166748047,1546.6227484809028,1835.3256378173828,2062.841715494792,1915.3773345947266,2199.17861328125,34,88,0.560329854,67
03/06/2021 05:44:45,linetrace,10,9mm,0,-gitBranch.285,1.0,37,81.31975,91.0,67.0,100.0,80.0,100.0,73.0,90.0,73.0,1594.8368375142411,1322.3212998130107,1606.2533447265625,1354.9696180555557,1640.8700086805557,1618.4238403320314,1921.747802734375,1689.5216217041016,1717.2265846946025,38,91,0.626246452,75
03/06/2021 05:43:29,linetrace,10,9mm,0,-gitBranch.285,1.0,36,89.4164352,80.0,69.0,91.0,71.0,100.0,100.0,91.0,100.0,1615.6759684794661,1430.2495910644532,1570.1278347439238,1513.8675903320313,1520.8372680664065,1632.8741821289061,1881.1387736002605,1803.3407156808034,1711.697265625,37,87,0.618579566,74
03/06/2021 05:42:17,linetrace,10,9mm,0,-gitBranch.285,2.0,33,80.66361,90.0,82.0,73.0,80.0,80.0,80.0,80.0,73.0,1784.2095013518833,1467.5394261678061,1781.2843017578125,1725.8806326729912,1856.8333740234375,1873.000244140625,2002.3684895833335,1935.3329903738838,1848.5939127604167,34,84,0.560225964,67
03/06/2021 05:41:05,linetrace,10,9mm,0,-gitBranch.285,1.0,37,69.87119,83.0,80.0,71.0,100.0,89.0,83.0,82.0,100.0,1580.9457039388021,1352.0284240722658,1616.7792968750002,1599.07275390625,1325.3424377441406,1551.4257257634945,1773.1227264404297,2227.9792131696427,1486.1170111762153,38,88,0.6278338,75
03/04/2021 22:32:31,linetrace,10,9mm,0,-gitBranch.285,1.0,39,84.72256,91.0,83.0,90.0,90.0,85.0,92.0,75.0,90.0,1501.6354238775714,1273.922002618963,1446.23037109375,1445.1461046006943,1417.1622653537327,1664.2401012073863,1653.5903542258523,1587.4443766276042,1512.2047797309028,40,91,0.660884142,79
03/04/2021 22:30:37,linetrace,10,9mm,0,-gitBranch.285,1.0,38,74.5788,100.0,90.0,91.0,91.0,100.0,77.0,75.0,83.0,1532.8338059645432,1185.260342684659,1414.7938598632813,1539.3125665838068,1393.1668368252842,1497.7588134765626,1930.5046251085068,1582.2676304408483,1854.4397650824653,39,89,0.652168453,78
03/04/2021 22:29:01,linetrace,10,9mm,0,-gitBranch.285,2.0,33,81.2613144,80.0,100.0,80.0,67.0,89.0,89.0,100.0,100.0,1765.0838878119171,1664.7174614800347,1585.2258758544922,1631.87516784668,1689.8856811523438,1901.9995727539063,2133.3218994140625,1641.8991834852432,1884.7339002821182,34,77,0.5615903,67
03/04/2021 22:27:48,linetrace,10,9mm,0,-gitBranch.285,2.0,30,84.59258,89.0,100.0,100.0,88.0,88.0,100.0,100.0,100.0,1944.2885592101049,1455.395149230957,1738.2190813337054,1766.7521623883929,1891.0584542410716,2308.6929389105903,1946.3448486328125,2239.0992780412948,2105.6232543945312,31,64,0.510294437,61
03/03/2021 05:15:21,linetrace,10,9mm,0,-gitBranch.285,1.0,39,84.62727,90.0,92.0,92.0,90.0,91.0,89.0,100.0,92.0,1491.3233240827728,1219.898298783736,1488.4617513020833,1413.0009277343752,1355.7053333629262,1578.8423645019532,1819.3723754882813,1471.3780517578125,1670.0847722833805,40,86,0.661971748,79
03/02/2021 06:24:33,linetrace,10,9mm,0,-gitBranch.285,1.0,41,71.79499,92.0,81.0,83.0,91.0,91.0,90.0,91.0,91.0,1410.5691172281902,1138.8591837565104,1484.0460674579328,1400.6364593505862,1319.4920288085937,1455.3938395182292,1541.5757882254463,1495.080029296875,1572.6609903971355,42,95,0.703249156,84
03/02/2021 02:29:26,linetrace,10,9mm,0,-gitBranch.285,1.0,42,76.235405,91.0,92.0,100.0,92.0,100.0,90.0,90.0,83.0,1398.9229529885686,1137.5997886657713,1549.1520885120738,1270.6621791294642,1313.4438040597097,1428.6416829427083,1448.0649261474609,1546.0157928466797,1692.0751003689236,43,92,0.7109439,85
